Time (UTC),Open,High,Low,Close,Volume 
2017.05.10 16:09:50,1.36542,1.36542,1.36539,1.36539,4
2017.05.10 16:10:00,1.3654,1.3654,1.36539,1.36539,2
2017.05.10 16:10:10,1.36538,1.36546,1.36538,1.36546,12.62
2017.05.10 16:10:20,1.36547,1.36552,1.36547,1.36552,14.09
2017.05.10 16:10:30,1.36551,1.36551,1.3655,1.3655,3.62
2017.05.10 16:10:40,1.3655,1.3655,1.3655,1.3655,2
2017.05.10 16:10:50,1.3655,1.36552,1.3655,1.36552,8.37
2017.05.10 16:11:00,1.36553,1.36561,1.3655,1.36561,19.61
2017.05.10 16:11:10,1.36563,1.36563,1.36554,1.36558,27.24
2017.05.10 16:11:20,1.36558,1.3656,1.36558,1.36558,28.74
2017.05.10 16:11:30,1.36558,1.3656,1.36558,1.36559,14.99
2017.05.10 16:11:40,1.3656,1.36561,1.36559,1.36559,11.74
2017.05.10 16:11:50,1.36558,1.36559,1.36558,1.36559,2.5
2017.05.10 16:12:00,1.3656,1.36561,1.36559,1.36559,9.75
2017.05.10 16:12:10,1.3656,1.3656,1.36551,1.36551,24.75
2017.05.10 16:12:20,1.36552,1.36552,1.36528,1.36528,34.36
2017.05.10 16:12:30,1.36528,1.36542,1.36526,1.36542,29.11
2017.05.10 16:12:40,1.3654,1.36542,1.3654,1.36542,11.87
2017.05.10 16:12:50,1.3654,1.3654,1.36533,1.36533,10.62
2017.05.10 16:13:00,1.36533,1.36533,1.36531,1.36531,5
2017.05.10 16:13:10,1.36533,1.36533,1.36524,1.36528,26.72
2017.05.10 16:13:20,1.36526,1.36526,1.36514,1.36514,14.25
2017.05.10 16:13:30,1.36513,1.36513,1.36513,1.36513,1
2017.05.10 16:13:40,1.36511,1.36512,1.3651,1.3651,6.62
2017.05.10 16:13:50,1.36506,1.36512,1.36497,1.3651,46.15
2017.05.10 16:14:00,1.3651,1.36511,1.36496,1.36496,41.21
